Marketplace;Brand;Series;PriceNow;PriceOriginal;Guarantee_year;OS;CoresNumber;Processor;ProcessorType;ProcessorModel;ProcessorFrequency_GHz;GpuManufacturer;GpuController;ScreenSize_inch;ScreenFrequency_GHz;SSDSize_GGb;RAM_GGb;RAM_type;HDMI;Material;Battery_hour;Weight_kg
Mvideo;Lenovo;IdeaPad 3;38999;51999;1;Windows 10 Домашняя 64;4;nan;nan;nan;nan;AMD;Radeon Vega 8;14;60;512;8;DDR4;1;пластик;12;nan
Mvideo;Lenovo;IdeaPad 3 15IGL05;17999;24999;1;не установлена;2;nan;nan;nan;nan;Intel;UHD Graphics 600;nan;nan;nan;4;DDR4;1;пластик;14;nan
Mvideo;HP;240 G7;17999;24999;1;Windows 10 Pro;2;nan;nan;nan;nan;Intel;Intel UHD Graphics 600;14;60;128;4;DDR4;1;пластик;12;nan
Mvideo;Irbis;NBC;35999;35999;1;Windows 11 Pro;2;nan;nan;nan;nan;AMD;Radeon Vega 3;nan;60;256;8;DDR4;1;металл/ пластик;5;nan
Mvideo;Irbis;NB;18999;21999;1;Windows 10 Pro;4;nan;nan;nan;nan;Intel;Intel HD Graphics;nan;60;nan;4;nan;1;пластик;5;nan
Mvideo;HP;HP Notebook 15;49999;54999;1;Windows 11 Домашняя S-режим;4;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;nan;nan;256;12;DDR4;1;пластик/ алюминий;9;nan
Mvideo;Digma;EVE;19999;25999;1;Windows 10 Домашняя;2;nan;nan;nan;nan;Intel;Intel HD Graphics 500;nan;60;nan;4;DDR3;1;пластик;8;nan
Mvideo;HUAWEI;Matebook X Pro;119999;131999;1;Windows 11;12;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;nan;90;1000;16;LPDDR5;nan;магниевый сплав;8;nan
Mvideo;HUAWEI;Matebook 14;68999;68999;1;Windows 11;6;nan;nan;nan;nan;AMD;Radeon Vega;14;60;512;16;DDR4;1;металл;7;nan
Mvideo;Honor;MagicBook X 14;54999;59899;1;Windows 10 Домашняя 64;4;nan;nan;nan;nan;Intel;Intel UHD Graphics;14;60;512;8;DDR4;1;алюминиевый сплав;13;nan
Mvideo;Honor;MagicBook 16;79999;89999;1;Windows 11 Домашняя 64;6;nan;nan;nan;nan;AMD;Radeon Graphics;nan;60;512;16;DDR4;1;алюминиевый сплав;8;nan
Mvideo;Apple;MacBook Pro;104999;104999;1;macOS;8;nan;nan;nan;nan;nan;nan;nan;nan;256;8;nan;nan;алюминий;20;nan
Mvideo;Honor;MagicBook X15;54999;59999;1;Windows 10 Домашняя 64;4;nan;nan;nan;nan;Intel;Intel UHD Graphics;nan;60;512;8;DDR4;1;алюминиевый сплав;7;nan
Mvideo;Apple;nan;109999;139999;1;macOS;8;nan;nan;nan;nan;nan;nan;nan;nan;256;8;nan;nan;алюминий;18;nan
Mvideo;HUAWEI;Matebook 14S;94999;106999;1;Windows 11 Домашняя;14;nan;nan;nan;nan;Intel;Intel Iris Xe Graphics;14;nan;1000;16;LPDDR4X;1;металл;9;nan
